index,course number,course name
412,CIS195P,PHP Web Development I 
413,CIS225,End User Support 
414,CIS233J,Java Programming II 
415,CIS233W,JavaScript for Web Dev. II 
416,CIS240L,Linux Installation and Config 
417,CIS240M,Managing a Windows Server Env 
418,CIS244,Systems Analysis 
419,CIS245,Project Management- Info Syst 
420,CIS275,Data Modeling and SQL Intro 
421,CIS276,Advanced SQL 
422,CIS279L,Linux Network Administration 
427,CIS280D,CE: Application Development 
423,CIS284C,Cybersecurity Concepts 
424,CIS287M,Microsoft Server Security 
425,CIS288M,MS Network Administration 
426,CIS289M,MS Active Directory Admin. 
439,CJA100,Professions in Crim. Justice 
440,CJA101,Cultural Diversity in CJ Prof 
441,CJA111,Intro Crim Just Sys - Police 
442,CJA112,Intro Crim Just Sys - Courts 
443,CJA113,Intro to CJS- Corrections 
444,CJA114,Intro. to Juvenile Process 
445,CJA210,"Arrest, Search & Seizure "
446,CJA211,Civil Liability & Ethics in CJ 
447,CJA212,Criminal Law 
448,CJA213,Evidence 
449,CJA214,Criminal Investigation 
450,CJA215,Forensic Sci & Criminalistics 
451,CJA217,Interviewing & Interrogation 
452,CJA225,Your Rights and the Police 
453,CJA230,Police Report Writing 
454,CJA234,National Security & Intel. 
455,CJA243,Narcotics & Dangerous Drugs 
456,CJA244,Tact. Comm. Crisis Incidents 
457,CJA263,Intro to Corrections Casework 
458,CJA264,Intro. Corrections Admin 
0,Class,"Schedule
       "
154,Class,"Schedule
       "
174,Class,"Schedule
       "
213,Class,"Schedule
       "
269,Class,"Schedule
       "
283,Class,"Schedule
       "
316,Class,"Schedule
       "
349,Class,"Schedule
       "
356,Class,"Schedule
       "
459,Class,"Schedule
       "
484,Class,"Schedule
       "
485,Class,"Schedule
       "
486,Class,"Schedule
       "
487,Class,"Schedule
       "
495,Class,"Schedule
       "
516,Class,"Schedule
       "
565,Class,"Schedule
       "
588,Class,"Schedule
       "
647,Class,"Schedule
       "
661,Class,"Schedule
       "
730,Class,"Schedule
       "
771,Class,"Schedule
       "
804,Class,"Schedule
       "
807,Class,"Schedule
       "
808,Class,"Schedule
       "
882,Class,"Schedule
       "
913,Class,"Schedule
       "
918,Class,"Schedule
       "
919,Class,"Schedule
       "
1036,Class,"Schedule
       "
1037,Class,"Schedule
       "
1080,Class,"Schedule
       "
1214,Class,"Schedule
       "
1222,Class,"Schedule
       "
1229,Class,"Schedule
       "
1230,Class,"Schedule
       "
1231,Class,"Schedule
       "
1257,Class,"Schedule
       "
1258,Class,"Schedule
       "
1283,Class,"Schedule
       "
1284,Class,"Schedule
       "
1357,Class,"Schedule
       "
308,CMET110,Statics 
309,CMET111,Portland Design: BBB 
